OBJECTID,Code_Insee,Libelle,Population_municipale_2020,Evol_annuelle_moy_population_20,Densite_population_2019_histori,Population_municipale_2019_hist,Shape__Area,Shape__Length
1,62001,Ablain-Saint-Nazaire,1929,1.4,190.6,1877,9957907.45214844,17778.3425993608
2,62003,Acheville,599,-1,198.7,604,3073788.03808594,9485.46485820171
3,62019,Aix-Noulette,3917,-0.1,375.8,3923,10445629.9619141,20320.0611422692
4,62032,Angres,4777,2.2,974.7,4698,4835830.19042969,14054.6853253971
5,62033,Annay,4477,1.1,1010.9,4377,4328372.50683594,10695.6428762238
6,62065,Avion,17676,-0.2,1351.6,17625,13023294.2792969,20042.5946806249
7,62107,Bénifontaine,350,-0.6,84,356,4162967.421875,10103.6199920919
8,62133,Billy-Montigny,8185,0,3017.3,8177,2726040.43359375,9450.00904542703
9,62170,Bouvigny-Boyeffles,2376,-0.5,261.5,2372,9134402.88378906,18439.0501666877
10,62186,Bully-les-Mines,12080,-0.6,1586.9,12156,7827984.82910156,14746.1270820244
11,62213,Carency,796,1.5,90.7,780,8526994.72070313,20686.8531915476
12,62291,Éleu-dit-Leauwette,2844,-0.1,2427.4,2840,1166703.50683594,5549.98390835145
13,62311,Estevelles,2031,-0.3,802.8,2039,2512556.77832031,8448.05122292976
14,62351,Fouquières-lès-Lens,6333,-0.3,1554.1,6434,4144092.40722656,10964.3122458908
15,62371,Givenchy-en-Gohelle,2003,0.1,341.2,2030,5934223.27734375,11939.236115544
16,62380,Gouy-Servins,350,0.3,104.5,347,3324154.43554688,9962.13421442882
17,62386,Grenay,6748,-0.4,2111.5,6799,3190620.95117188,8620.27989271327
18,62413,Harnes,12277,-0.2,1137.3,12237,10818721.8876953,17381.0519060188
19,62464,Hulluch,3380,0.4,593.2,3405,5733400.08105469,15794.3106625628
20,62498,Lens,32458,0.6,2689,31461,11667787.2939453,16863.4214012797
21,62510,Liévin,30102,-0.8,2347,30112,12846380.1494141,18705.0791755734
22,62523,Loison-sous-Lens,5308,0.1,1511.5,5366,3506960.5703125,9768.57911247388
23,62528,Loos-en-Gohelle,6904,0.9,541.7,6879,12706065.9433594,18131.0883415979
24,62563,Mazingarbe,8029,0.4,780.7,8033,10299796.0136719,18126.8367122844
25,62570,Méricourt,11374,-0.6,1496.3,11267,7667239.39648438,18476.8165840072
26,62573,Meurchin,3728,-0.4,807.8,3748,4646797.89160156,11874.7281781619
27,62628,Noyelles-sous-Lens,6590,-0.6,1782.8,6632,3712730.92382813,11260.1466063514
28,62666,Pont-à-Vendin,3116,-0.2,1559.2,3134,2009707.66113281,10483.4998791698
29,62737,Sains-en-Gohelle,6035,-0.7,1061.3,6060,5727029.62597656,12183.045877979
30,62771,Sallaumines,9575,-0.3,2511.5,9594,3837153.26464844,11569.8538210271
31,62793,Servins,1133,0.5,176.1,1120,6304874.63183594,14535.7848561989
32,62801,Souchez,2643,0.6,384.3,2594,6666179.77050781,13992.4550176986
33,62842,Vendin-le-Vieil,8419,0.8,794.7,8479,10656133.0039063,18222.0898504915
34,62854,Villers-au-Bois,614,1.5,115.2,599,5239403.19140625,15461.0523752392
35,62861,Vimy,4332,0.4,384.6,4358,11447312.8291016,17589.5045783803
36,62895,Wingles,8750,0.6,1476.6,8756,6035058.65527344,10518.9619650689
