,X,Y,FID,source,type,natureobje,description,codecpv_di,referencec,datepublic,dureemois,montant,formeprix,departement executant,nature,procedure_,categoriee,denominati,departement entreprise
0,2.8212988183858,50.4372553547509,1,API AIFE,Marché,Fournitures,Fourniture de boissons pour les services de la CommunautXXXXX d'AgglomXXXXXration de Lens-LiXXXXXvin,15,"Boissons, tabac et produits connexes",2020/03/27,12,5319,Révisable,62,ACCORD-CADRE,Procédure adaptée,NC,Bedague,Pas-de-Calais
1,2.8212988183858,50.4372553547509,2,API AIFE,Marché,Services,19S143-Edition de brochures pour le Pays d'Art et d'Histoire de la Communauté d'Agglomération de LENS-LIEVIN,79,Services de conception graphique,2022/12/20,3,5711,Ferme,62,MARCHE,Procédure adaptée,PME,L'ARTESIENNE,Pas-de-Calais
2,2.8212988183858,50.4372553547509,3,API AIFE,Marché,Fournitures,Travaux d'eau potable rue de Gouy XXXXX SERVINS,44,Conduites d'eau potable,2020/04/06,2,127990,Ferme,62,MARCHE,Procédure adaptée,GE,SOGEA NORD HYDRAULIQUE,Nord
3,2.8212988183858,50.4372553547509,4,API AIFE,Marché,Travaux,19S158-Electricité courants forts et courants faibles,45,Travaux d'installations électriques,2020/08/11,16,49861,Ferme et actualisable,62,MARCHE,Procédure adaptée,NC,SATELEC,Nord
4,2.8212988183858,50.4372553547509,5,API AIFE,Marché,Services,Assistance XXXXX maXXXXXtrise d'ouvrage relative XXXXX la crXXXXXation d'un Office de Tourisme de nouvelle gXXXXXnXXXXXration dans un ensemble immobilier urbain ancien du centre-ville de Lens - RELANCE APRES INFRUCTUEUX,71,Services divers d'ingénierie,2020/04/05,48,56945,Révisable,62,MARCHE,Appel d'offres ouvert,GE,PARVIS,Paris
5,2.8212988183858,50.4372553547509,6,API AIFE,Marché,Services,22S097-Lot 2 - Fourniture de petit matériel de jardinage et d'horticulture,50,Services de réparation et d'entretien,2022/12/30,12,5196,Révisable,62,ACCORD-CADRE,Appel d'offres ouvert,PME,GUILLEBERT,Nord
6,2.8212988183858,50.4372553547509,7,API AIFE,Marché,Fournitures,19S050-Lot nXXXXX 1 : MatXXXXXriels de stockage,44,Conteneurs de stockage,2019/10/01,5,37775,Ferme,62,MARCHE,Procédure adaptée,NC,AGEC,Pyrénées-Atlantiques
7,2.8212988183858,50.4372553547509,8,API AIFE,Marché,Travaux,21S026-Lot 1 : Travaux d'assainissement,45,Travaux d'assainissement,2021/08/25,36,686326,Révisable,62,MARCHE,Procédure adaptée,PME,BALESTRA TP,Pas-de-Calais
8,2.8212988183858,50.4372553547509,9,API AIFE,Marché,Services,20S040-Lot 2 - Traitement des déchets inertes non valorisables en installation de stockage,90,Services liés aux déchets et aux ordures,2020/08/04,12,25625,Révisable,62,ACCORD-CADRE,Appel d'offres ouvert,PME,RECYNOV,Nord
9,2.8212988183858,50.4372553547509,10,API AIFE,Marché,Services,21S151-Etude pré-opérationnelle Copropriété AMO FLASH « Les 4 Vents » à Liévin,79,Services d'études,2022/02/02,9,29925,Ferme et actualisable,62,MARCHE,Procédure adaptée,PME,CITEMETRIE SAS,Paris
